,Iteration,Fitness,FEvals,Time,State,Population Size,Mutation Rate,max_iters
58,4096,0.0,101202,2.0058251999726053,"[1, 1, 1, 1, 1]",100,0.4,8192
59,8192,0.0,101202,2.0058251999726053,"[1, 1, 1, 1, 1]",100,0.4,8192
60,0,3.0,100,0.000741399999242276,"[1, 0, 1, 1, 1]",100,0.5,8192
61,1,0.0,202,0.01495529999374412,"[0, 0, 0, 0, 0]",100,0.5,8192
62,2,0.0,303,0.030096100002992898,"[0, 0, 0, 0, 0]",100,0.5,8192
63,4,0.0,505,0.046547000005375594,"[0, 0, 0, 0, 0]",100,0.5,8192
64,8,0.0,909,0.06618590001016855,"[0, 0, 0, 0, 0]",100,0.5,8192
65,16,0.0,1717,0.09449220000533387,"[0, 0, 0, 0, 0]",100,0.5,8192
66,32,0.0,3333,0.13635529999737628,"[0, 0, 0, 0, 0]",100,0.5,8192
67,64,0.0,6565,0.20982980000553653,"[0, 0, 0, 0, 0]",100,0.5,8192
68,128,0.0,13029,0.3445200999849476,"[0, 0, 0, 0, 0]",100,0.5,8192
69,256,0.0,25957,0.5953462999896146,"[0, 0, 0, 0, 0]",100,0.5,8192
70,512,0.0,51813,1.0892327000037767,"[0, 0, 0, 0, 0]",100,0.5,8192
71,1024,0.0,101202,2.039315500005614,"[0, 0, 0, 0, 0]",100,0.5,8192
72,2048,0.0,101202,2.039315500005614,"[0, 0, 0, 0, 0]",100,0.5,8192
73,4096,0.0,101202,2.039315500005614,"[0, 0, 0, 0, 0]",100,0.5,8192
74,8192,0.0,101202,2.039315500005614,"[0, 0, 0, 0, 0]",100,0.5,8192
75,0,4.0,100,0.0005696000007446855,"[1, 1, 0, 1, 0]",100,0.6000000000000001,8192
76,1,0.0,202,0.016815800016047433,"[0, 0, 0, 0, 0]",100,0.6000000000000001,8192
77,2,0.0,303,0.033793100010370836,"[0, 0, 0, 0, 0]",100,0.6000000000000001,8192
78,4,0.0,505,0.05307850000099279,"[0, 0, 0, 0, 0]",100,0.6000000000000001,8192
79,8,0.0,909,0.0761513999896124,"[0, 0, 0, 0, 0]",100,0.6000000000000001,8192
80,16,0.0,1717,0.1058097000059206,"[0, 0, 0, 0, 0]",100,0.6000000000000001,8192
81,32,0.0,3333,0.15038090001326054,"[0, 0, 0, 0, 0]",100,0.6000000000000001,8192
82,64,0.0,6565,0.22604549999232404,"[0, 0, 0, 0, 0]",100,0.6000000000000001,8192
83,128,0.0,13029,0.36542350001400337,"[0, 0, 0, 0, 0]",100,0.6000000000000001,8192
84,256,0.0,25957,0.6242330000095535,"[0, 0, 0, 0, 0]",100,0.6000000000000001,8192
